field,description,verified
product_id,Primary SKU or product identifier used as the unique key for inventory records.,FALSE
item,Human-readable product name or title as shown in catalogs and order systems.,FALSE
detail,Extended product description or supplemental detail text beyond the main item name.,FALSE
item2,"Secondary description line, alternate title, or additional item labeling.",FALSE
onhand_qty,Total quantity currently available in inventory (on hand).,FALSE
onpicklist_qty,Quantity already allocated to open pick lists or fulfillment orders.,FALSE
on_order_qty,Quantity on incoming purchase orders not yet received into stock.,FALSE
onhand_min_qty,Minimum desired on-hand quantity; likely used as a reorder threshold.,FALSE
onhand_max_qty,Maximum desired on-hand quantity cap for stocking levels.,FALSE
standard_cost,Internal standard cost per unit used for valuation or margin calculations.,FALSE
po_cost,"Cost from purchase orders, likely the most recent or default PO unit cost.",FALSE
v_on_order,Vendor-side on-order metric; may represent value or quantity tied to open POs.,FALSE
open_po_cnt,Count of open purchase orders referencing this product.,FALSE
next_po,Expected date or identifier for the next incoming purchase order.,FALSE
next_qty,Quantity expected on the next incoming purchase order.,FALSE
non_stock,Boolean flag indicating the item is non-stock (not tracked as regular inventory).,FALSE
no_export,Boolean flag to exclude this product from external data exports.,FALSE
inactive,Boolean flag marking the product inactive and likely hidden from normal use.,FALSE
discontin,Boolean flag marking the product as discontinued/no longer sold.,FALSE
vendor_num,Numeric identifier for the primary vendor or supplier.,FALSE
vendor,Primary vendor or supplier name.,FALSE
mtd_sales,Month-to-date sales total for the product (units or dollars).,FALSE
ytd_sales,Year-to-date sales total for the product.,FALSE
last_yr_sales,Sales total for the prior calendar or fiscal year.,FALSE
all_sales,Lifetime or all-time cumulative sales total.,FALSE
vendor_min_order,Minimum order quantity required by the vendor.,FALSE
min_order_amt,Minimum purchase order dollar amount required by the vendor.,FALSE
upcode,UPC or barcode identifier for scanning and retail integration.,FALSE
lp_price,"List price, likely the published wholesale list price.",FALSE
mp_price,"Mid-tier or member price, possibly MAP or discounted wholesale price.",FALSE
original_wholesale_price,Original catalog wholesale price before current pricing changes.,FALSE
catalog_pg_num,Reference to a printed or digital catalog page number.,FALSE
location,Warehouse or storage location code where stock is held.,FALSE
loc_onhand,On-hand quantity at the specified warehouse location.,FALSE
pickbin,Pick bin or slot location used during order fulfillment.,FALSE
c_of_o,Country of origin code for the product.,FALSE
material,Material composition or material type description.,FALSE
c_to_c,Carton-to-carton or cost-to-cost flag; exact business meaning needs verification.,FALSE
uom,"Unit of measure for ordering and inventory (e.g., IN, YD, LB).",FALSE
length,Product length dimension.,FALSE
width,Product width dimension.,FALSE
height,Product height dimension.,FALSE
wt,Product weight.,FALSE
wt_uom,"Unit of measure for product weight (e.g., LB).",FALSE
diameter,"Product diameter dimension, used for round items.",FALSE
size,General size descriptor when length/width/height are not sufficient.,FALSE
pkg_len,Shipping or retail package length.,FALSE
pkg_wid,Shipping or retail package width.,FALSE
pkg_ht,Shipping or retail package height.,FALSE
pkg_wt,Shipping or retail package weight.,FALSE
pkg_wt_uom,Unit of measure for package weight.,FALSE
ip_qty,Inner pack quantity (units per inner pack).,FALSE
ip_len,Inner pack length dimension.,FALSE
ip_wid,Inner pack width dimension.,FALSE
ip_ht,Inner pack height dimension.,FALSE
ip_wt,Inner pack weight.,FALSE
ip_wt_uom,Unit of measure for inner pack weight.,FALSE
cs_qty,Case quantity (units per master case/carton).,FALSE
cs_wid,Case width dimension.,FALSE
cs_len,Case length dimension.,FALSE
cs_ht,Case height dimension.,FALSE
cs_wt,Case weight.,FALSE
category_1,Primary product category or collection tag (hierarchical taxonomy level 1).,FALSE
category_2,Secondary category tag (taxonomy level 2).,FALSE
category_3,Tertiary category tag (taxonomy level 3).,FALSE
category_4,Category tag level 4 for merchandising or navigation.,FALSE
category_5,Category tag level 5 for merchandising or navigation.,FALSE
category_6,Category tag level 6 for merchandising or navigation.,FALSE
category_7,Category tag level 7 for merchandising or navigation.,FALSE
category_8,Category tag level 8 for merchandising or navigation.,FALSE
category_9,Category tag level 9 for merchandising or navigation.,FALSE
category_10,Category tag level 10 for merchandising or navigation.,FALSE
webwholesale,Boolean flag controlling visibility on the wholesale web storefront.,FALSE
webretail,Boolean flag controlling visibility on the retail web storefront.,FALSE
mfg_code,Manufacturer or vendor item/manufacturer code (MFG/SKU cross-reference).,FALSE
alt_code,Primary alternate product code or cross-reference SKU.,FALSE
alt2_code,Second alternate product code.,FALSE
alt3_code,Third alternate product code.,FALSE
def_qty,Default quantity used when adding the item to orders or carts.,FALSE
def_wt,Default weight value used when actual weight is not specified.,FALSE
def_wt_uom,Unit of measure for the default weight.,FALSE
line_comm,Line-level commission flag or amount for sales rep compensation.,FALSE
disc_over_sold,Boolean flag enabling a discount rule when the item is oversold.,FALSE
disc_over_sold_percent,Discount percentage applied when oversold discount is enabled.,FALSE
